type,x_0,x_1,x_2,x_3,x_4,x_5,x_6,x_7
0,1.0671170949935913,0.447092205286026,0.32260656356811523,-0.0001853033172665164,-0.6311904788017273,0.6962196826934814,-0.1469453126192093,0.36988767981529236
1,0.10729247331619263,0.9165074825286865,-1.2167401313781738,-0.14038215577602386,-0.2040935605764389,1.0534815788269043,0.9340307116508484,-0.18522299826145172
2,0.782805860042572,0.22625887393951416,-0.5349319577217102,0.4809267520904541,-0.05185454338788986,0.5627032518386841,0.11073621362447739,-0.2095496952533722
3,-0.0009888308122754097,0.3219057619571686,-0.33142563700675964,-0.08202938735485077,-0.9872499108314514,1.8243911266326904,0.7206671833992004,0.5388001799583435
4,1.0903693437576294,0.43907949328422546,0.23922497034072876,-0.015526284463703632,-0.7649065852165222,0.7572183609008789,-0.09699264168739319,0.3467915654182434
5,0.08590218424797058,0.9995903968811035,-1.2324509620666504,-0.08186301589012146,-0.2291083186864853,1.1070441007614136,1.0579197406768799,-0.2518009543418884
6,1.125280737876892,1.1661642789840698,-0.4191156029701233,-0.02751169539988041,-0.6683229804039001,-0.13396905362606049,0.562791645526886,-0.07283701747655869
7,0.8437674641609192,0.29012608528137207,-0.5869465470314026,0.45919445157051086,-0.048124607652425766,0.6208347082138062,0.09100952744483948,-0.19541239738464355
8,1.1028555631637573,0.44290947914123535,0.32008087635040283,-0.03498951345682144,-0.6758502721786499,0.6101425290107727,-0.12664079666137695,0.36858052015304565
9,1.0617022514343262,1.1500872373580933,-0.4169125258922577,-0.03263304755091667,-0.670120358467102,-0.14232194423675537,0.5713299512863159,-0.07578174769878387
10,0.9658979177474976,0.6221223473548889,-0.3918570876121521,0.065656878054142,1.0175909996032715,1.246437907218933,-0.36760008335113525,-0.3043530285358429
11,0.08919411897659302,0.9593632817268372,-1.2700986862182617,-0.15229202806949615,-0.21113693714141846,1.073289394378662,1.0065932273864746,-0.21945704519748688
12,0.8939748406410217,0.19193334877490997,-0.500217080116272,0.6062690019607544,0.0205962173640728,0.6244074702262878,0.07076510787010193,-0.23671168088912964
13,0.41494086384773254,1.4103317260742188,-0.43636369705200195,1.1502333879470825,-1.0118507146835327,-0.14537698030471802,-0.4684135317802429,-0.12418971210718155
14,0.37683239579200745,1.3885101079940796,-0.45763248205184937,1.0596349239349365,-1.05564284324646,-0.1267670840024948,-0.44353726506233215,-0.027897648513317108
15,0.39723703265190125,1.4638001918792725,-0.4541495144367218,1.1539452075958252,-1.027360200881958,-0.1577197164297104,-0.43871232867240906,-0.009613655507564545
16,0.11720144003629684,0.9377718567848206,-1.2421833276748657,-0.04667352885007858,-0.23837214708328247,1.1297694444656372,0.9081100821495056,-0.22665181756019592
17,0.9480174779891968,0.6463803648948669,-0.4418845772743225,0.0002842981193680316,1.0258641242980957,1.203591227531433,-0.3577972948551178,-0.31997591257095337
18,0.8784990906715393,0.16925735771656036,-0.4215990900993347,0.5014893412590027,0.0797310546040535,0.5368205904960632,0.143539696931839,-0.13152357935905457
19,0.9020832180976868,0.266375333070755,-0.5922669768333435,0.5639949440956116,-0.058641865849494934,0.5384661555290222,0.11762361228466034,-0.25439152121543884
20,0.9006280303001404,0.7025139927864075,-0.43418174982070923,0.01834784634411335,1.0909427404403687,1.3048655986785889,-0.2082584798336029,-0.39833202958106995
21,0.8330246806144714,0.2629881203174591,-0.5088356733322144,0.6105784773826599,-0.13578438758850098,0.4888366758823395,0.1670452505350113,-0.21188592910766602
22,0.9554464817047119,0.6006188988685608,-0.36026841402053833,0.06793376803398132,1.022270679473877,1.25833261013031,-0.34363487362861633,-0.2861614525318146
23,0.6323692798614502,1.0031286478042603,-0.0883479043841362,-0.6661970615386963,-0.4360799789428711,0.5400543212890625,0.23890607059001923,0.2513497471809387
24,0.0389915406703949,0.9541501998901367,-1.1411436796188354,-0.047823354601860046,-0.32157137989997864,1.0434789657592773,1.0694935321807861,-0.2388279289007187
25,0.8431694507598877,0.18262267112731934,-0.5345970988273621,0.6336195468902588,0.02112257108092308,0.6535058617591858,0.03856130689382553,-0.14994090795516968
26,0.41213536262512207,1.4886020421981812,-0.36050036549568176,1.0812280178070068,-1.0187982320785522,-0.09370864927768707,-0.5504828095436096,-0.03819049894809723
27,0.278917521238327,1.932542324066162,0.3400120139122009,0.007996421307325363,-0.9512726664543152,0.1128787025809288,-0.6147549748420715,0.40044814348220825
28,0.4109073281288147,1.3975874185562134,-0.44596272706985474,1.1065162420272827,-1.0204827785491943,-0.13587409257888794,-0.5332557559013367,-0.021716514602303505
29,0.3843543231487274,1.4111404418945312,-0.4536825716495514,1.0182756185531616,-1.0687601566314697,-0.1492452472448349,-0.4784941077232361,0.0011447857832536101
30,0.8991604447364807,0.24705353379249573,-0.5693974494934082,0.668779194355011,-0.06349102407693863,0.5336874127388,0.04363499954342842,-0.16690558195114136
31,0.9189786314964294,0.6601744890213013,-0.40311452746391296,0.004491074942052364,1.0271562337875366,1.336672306060791,-0.32906168699264526,-0.37820833921432495
32,0.9457179307937622,0.19662587344646454,-0.4785512685775757,0.5507038235664368,-0.009565839543938637,0.6120068430900574,0.13795781135559082,-0.19202542304992676
33,0.8625882267951965,0.18636514246463776,-0.47028717398643494,0.5626298785209656,0.03433755412697792,0.6187760233879089,0.07441090047359467,-0.14399366080760956
34,0.08703859150409698,0.9572554230690002,-1.3107165098190308,-0.06498398631811142,-0.2271571159362793,1.0458579063415527,0.9579188823699951,-0.2007676661014557
35,0.8709954619407654,0.6193410158157349,-0.39822763204574585,0.013116888701915741,1.0189419984817505,1.2381418943405151,-0.3594948649406433,-0.3546740710735321
36,0.6450288891792297,0.9616144895553589,-0.12224005907773972,-0.6776770949363708,-0.40444058179855347,0.5592828989028931,0.2401958703994751,0.2689060568809509
